File,Mean,Median,Pstdev.
simple_examples_no_optimization_proofs_2/loop_in_else_branch_proofs/ROOT,16.529927492141724,16.529927492141724,0.0
simple_examples_no_optimization_proofs_2/return_in_loop2_proofs/ROOT,20.6615948677063,20.6615948677063,0.0
simple_examples_no_optimization_proofs_2/empty_generic_block_proofs/ROOT,17.638909101486206,17.638909101486206,0.0
simple_examples_no_optimization_proofs_2/if_example_no_else_branch_proofs/ROOT,16.70071840286255,16.70071840286255,0.0
simple_examples_no_optimization_proofs_2/empty_loop_proofs/ROOT,18.356985569000244,18.356985569000244,0.0
simple_examples_no_optimization_proofs_2/simple_return_test_proofs/ROOT,15.760504722595215,15.760504722595215,0.0
simple_examples_no_optimization_proofs_2/no_guard_loop4_proofs/ROOT,22.520811319351196,22.520811319351196,0.0
simple_examples_no_optimization_proofs_2/nested_loop_while_true_proofs/ROOT,21.14844298362732,21.14844298362732,0.0
simple_examples_no_optimization_proofs_2/triangle_example_proofs/ROOT,18.182694673538208,18.182694673538208,0.0
simple_examples_no_optimization_proofs_2/consecutive_loops_in_loop_2_proofs/ROOT,22.464988946914673,22.464988946914673,0.0
simple_examples_no_optimization_proofs_2/assert_false_in_if_3_proofs/ROOT,16.334786653518677,16.334786653518677,0.0
simple_examples_no_optimization_proofs_2/no_guard_loop_proofs/ROOT,24.018352031707764,24.018352031707764,0.0
simple_examples_no_optimization_proofs_2/assume_false_assert_false_proofs/ROOT,16.269209146499634,16.269209146499634,0.0
simple_examples_no_optimization_proofs_2/consecutive_loops_proofs/ROOT,21.778433084487915,21.778433084487915,0.0
simple_examples_no_optimization_proofs_2/if_inside_loop_proofs/ROOT,20.71945309638977,20.71945309638977,0.0
simple_examples_no_optimization_proofs_2/start_loop_proofs/ROOT,20.882461547851562,20.882461547851562,0.0
simple_examples_no_optimization_proofs_2/loop_example_no_inv_proofs/ROOT,17.588947772979736,17.588947772979736,0.0
simple_examples_no_optimization_proofs_2/return_in_loop_proofs/ROOT,18.51476764678955,18.51476764678955,0.0
simple_examples_no_optimization_proofs_2/trivial_assume_false_proofs/ROOT,14.143598794937134,14.143598794937134,0.0
simple_examples_no_optimization_proofs_2/assume_false_in_if_proofs/ROOT,15.7973051071167,15.7973051071167,0.0
simple_examples_no_optimization_proofs_2/assert_false_in_if_proofs/ROOT,15.551785707473755,15.551785707473755,0.0
simple_examples_no_optimization_proofs_2/no_guard_if_proofs/ROOT,15.046565055847168,15.046565055847168,0.0
simple_examples_no_optimization_proofs_2/no_inv_loop_proofs/ROOT,17.20460557937622,17.20460557937622,0.0
simple_examples_no_optimization_proofs_2/consecutive_loops_in_loop_proofs/ROOT,21.2952823638916,21.2952823638916,0.0
simple_examples_no_optimization_proofs_2/nested_loop_proofs/ROOT,20.862541913986206,20.862541913986206,0.0
simple_examples_no_optimization_proofs_2/consecutive_ifs_proofs/ROOT,15.956636667251587,15.956636667251587,0.0
simple_examples_no_optimization_proofs_2/loop_in_then_branch_proofs/ROOT,18.217901945114136,18.217901945114136,0.0
simple_examples_no_optimization_proofs_2/assert_false_in_if_2_proofs/ROOT,15.341740846633911,15.341740846633911,0.0
simple_examples_no_optimization_proofs_2/globals_proofs/ROOT,20.984867572784424,20.984867572784424,0.0
simple_examples_no_optimization_proofs_2/if_example_proofs/ROOT,16.11746120452881,16.11746120452881,0.0
simple_examples_no_optimization_proofs_2/no_guard_empty_branch_if_proofs/ROOT,16.002037286758423,16.002037286758423,0.0
simple_examples_no_optimization_proofs_2/no_guard_loop2_proofs/ROOT,22.825337171554565,22.825337171554565,0.0
simple_examples_no_optimization_proofs_2/nested_loop2_proofs/ROOT,21.991888523101807,21.991888523101807,0.0
simple_examples_no_optimization_proofs_2/trivial_assert_false_proofs/ROOT,15.958161354064941,15.958161354064941,0.0
simple_examples_no_optimization_proofs_2/loop_example_proofs/ROOT,19.151580333709717,19.151580333709717,0.0
simple_examples_no_optimization_proofs_2/nested_if_proofs/ROOT,15.94367241859436,15.94367241859436,0.0
simple_examples_no_optimization_proofs_2/complete_bigblock_loop_in_loop_proofs/ROOT,20.320770740509033,20.320770740509033,0.0
simple_examples_no_optimization_proofs_2/no_guard_loop3_proofs/ROOT,22.385133504867554,22.385133504867554,0.0
simple_examples_no_optimization_proofs_2/trivial_example_proofs/ROOT,15.298888921737671,15.298888921737671,0.0
simple_examples_no_optimization_proofs_2/empty_branch_if_proofs/ROOT,16.03464651107788,16.03464651107788,0.0
